time,road_id,vehicle_count,avg_speed
08:00,R01,2100,22
08:00,R02,1800,25
08:00,R03,1600,30
08:00,R04,1200,35
08:00,R05,900,32
08:00,R06,700,35
08:00,R07,1400,30
08:00,R08,950,28
08:00,R09,800,32
08:00,R10,1700,38
09:00,R01,2300,18
09:00,R02,2050,20
09:00,R03,1900,24
09:00,R04,1400,31
09:00,R05,1000,29
09:00,R06,850,31
09:00,R07,1600,27
09:00,R08,1100,25
09:00,R09,900,29
09:00,R10,2000,34
13:00,R01,1200,38
13:00,R02,1000,35
13:00,R03,1300,37
13:00,R04,900,40
13:00,R05,600,38
13:00,R06,500,40
13:00,R07,1000,36
13:00,R08,650,34
13:00,R09,550,37
13:00,R10,1300,45
17:00,R01,2200,20
17:00,R02,2100,19
17:00,R03,2000,22
17:00,R04,1500,28
17:00,R05,1100,27
17:00,R06,900,29
17:00,R07,1800,24
17:00,R08,1150,23
17:00,R09,950,27
17:00,R10,2100,32
